class_idx,biggan_ai,sdv1_5_ai,min_count,class_name
593,7,6,6,harmonica
953,5,5,5,pineapple
525,6,5,5,dam
278,5,5,5,kit fox
364,8,5,5,three-toed sloth
450,5,6,5,bobsled
353,5,5,5,gazelle
524,4,4,4,cuirass
51,4,4,4,triceratops
49,5,4,4,African crocodile
490,4,4,4,chain mail
908,5,4,4,wing
667,5,4,4,mortarboard
932,5,4,4,pretzel
921,4,4,4,book jacket
31,5,4,4,tree frog
288,4,5,4,leopard
766,4,4,4,rotisserie
254,4,6,4,pug
20,5,4,4,water ouzel
995,4,4,4,earthstar
982,4,4,4,groom
222,4,6,4,kuvasz
819,4,5,4,stage
291,4,4,4,lion
783,4,5,4,screw
885,4,5,4,velvet
415,5,4,4,bakery
854,4,5,4,theater curtain
408,6,4,4,amphibian
762,6,4,4,restaurant
756,4,5,4,rain barrel
389,5,4,4,barracouta
361,4,4,4,skunk
692,5,4,4,packet
437,6,4,4,beacon
173,7,4,4,Ibizan hound
700,4,4,4,paper towel
61,6,4,4,boa constrictor
66,4,5,4,horned viper
552,5,4,4,feather boa
8,4,5,4,hen
785,4,5,4,seat belt
227,4,4,4,kelpie
770,4,4,4,running shoe
119,4,4,4,rock crab
88,7,3,3,macaw
85,3,4,3,quail
594,3,5,3,harp
600,7,3,3,hook
57,3,3,3,garter snake
54,3,4,3,hognose snake
52,3,5,3,thunder snake
612,9,3,3,jinrikisha
598,4,3,3,home theater
582,3,6,3,grocery store
60,3,4,3,night snake
30,3,5,3,bullfrog
544,4,3,3,Dutch oven
557,3,3,3,flagpole
526,5,3,3,desk
529,3,5,3,diaper
539,4,3,3,doormat
541,3,6,3,drum
639,3,4,3,maillot
640,3,3,3,manhole cover
641,3,4,3,maraca
572,5,3,3,goblet
564,3,4,3,four-poster
622,3,3,3,lens cap
628,3,5,3,liner
626,3,5,3,lighter
634,3,4,3,lumbermill
58,3,6,3,water snake
447,4,3,3,binoculars
906,5,3,3,Windsor tie
905,3,6,3,window shade
904,3,3,3,window screen
136,5,3,3,European gallinule
139,4,3,3,ruddy turnstone
673,6,3,3,mouse
671,3,3,3,mountain bike
472,5,3,3,canoe
666,3,6,3,mortar
664,3,4,3,monitor
479,8,3,3,car wheel
471,4,3,3,cannon
474,5,3,3,cardigan
931,4,3,3,bagel
499,4,3,3,cleaver
93,3,4,3,hornbill
92,3,3,3,bee eater
925,5,3,3,consomme
114,4,3,3,slug
491,3,4,3,chain saw
96,4,3,3,toucan
947,3,7,3,mushroom
941,3,3,3,acorn squash
101,3,3,3,tusker
644,4,3,3,matchstick
645,4,3,3,maypole
649,3,5,3,megalith
937,3,5,3,broccoli
939,5,3,3,zucchini
897,3,3,3,washer
693,3,3,3,paddle
400,4,3,3,academic gown
886,4,3,3,vending machine
390,3,3,3,eel
163,4,3,3,bloodhound
697,3,4,3,pajama
418,5,3,3,ballpoint
423,7,3,3,barber chair
728,3,5,3,plastic bag
378,4,3,3,capuchin
375,5,3,3,colobus
374,3,3,3,langur
731,3,5,3,plunger
737,3,3,3,pop bottle
719,3,4,3,piggy bank
723,5,3,3,pinwheel
724,5,3,3,pirate
358,3,4,3,polecat
411,4,3,3,apron
409,3,3,3,analog clock
436,3,3,3,beach wagon
428,6,3,3,barrow
417,3,4,3,balloon
142,3,5,3,dowitcher
130,5,3,3,flamingo
695,3,3,3,padlock
426,3,4,3,barometer
435,5,3,3,bathtub
462,7,3,3,broom
463,3,3,3,bucket
683,3,5,3,oboe
684,5,3,3,ocarina
458,3,3,3,brass
341,3,5,3,hog
188,3,3,3,wire-haired fox terrier
184,4,3,3,Irish terrier
180,3,3,3,American Staffordshire terrier
177,3,3,3,Scottish deerhound
211,4,3,3,vizsla
210,3,3,3,German short-haired pointer
764,3,4,3,rifle
754,3,3,3,radio
755,3,6,3,radio telescope
367,4,3,3,chimpanzee
752,3,3,3,racket
362,3,3,3,badger
859,3,3,3,toaster
864,4,3,3,tow truck
773,6,3,3,saltshaker
838,6,3,3,sunscreen
837,5,3,3,sunglasses
839,4,3,3,suspension bridge
309,4,3,3,bee
317,3,4,3,leafhopper
311,4,3,3,grasshopper
285,5,3,3,Egyptian cat
290,3,3,3,jaguar
299,4,3,3,meerkat
772,3,4,3,safety pin
768,3,4,3,rugby ball
788,3,3,3,shoe shop
306,3,3,3,rhinoceros beetle
